STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,SEX,,AGE,,LABOUR_FORCE_STATUS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CYP,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.60990000356032,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,CYP,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,4.48302934162895,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,MLT,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,4.20849549702552,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,MLT,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,4.0816662156798,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,MLT,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,3.95435622131827,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,MKD,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,3.13236511605333,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ROU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,5.39131977487969,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ROU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,5.30736248213363,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,ROU,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,5.21344392869972,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2020,,2.85307868674593,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2021,,3.73688794140598,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE80,,POP,,2022,,3.73568773773917,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,HUN,,POP,,PT_POP_SUB,,_T,,Y_GE75,,POP,,2020,,9.50652336851617,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE75,,POP,,2020,,5.16061131136892,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE75,,POP,,2021,,3.66216355887943,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y_GE75,,POP,,2022,,3.65516752845002,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y75T79,,POP,,2020,,2.02002557404094,,A,,,,1,
DATAFLOW,OECD.ELS.SAE:DSD_LFS@DF_LFS_COMP(1.1),,I,E,,POP,,PT_POP_SUB,,_T,,Y75T79,,POP,,2021,,2.41412944053616,,A,,,,1,
